,Unnamed: 0,Data,PRECIP. TOTAL (mm),PRESSÃO ATM. (mB),PRESSÃO MAX. (mB),PRESSÃO MIN. (mB),RADIAÇÃO GLOBAL (KJ/m²),TEMP. AR (°C),TEMP. ORVALHO (°C),TEMP. MÁX. (°C),TEMP. MÍN. (°C),TEMP. ORVALHO MAX. (°C),TEMP. ORVALHO MIN. (°C),UMID. REL. MAX. (%),UMID. REL. MIN. (%),UMID. REL. AR (%),DIREÇÃO VENTO (°),RAJADA VENTO (m/s),VEL. VENTO (m/s)
5096,5096,2015-12-15,0.0,952.6541666666668,952.9833333333332,952.1083333333332,-3557.125,24.875,19.379166666666663,25.633333333333336,24.28333333333333,19.995833333333334,18.98333333333333,75.29166666666667,68.5,72.0,96.625,5.55,2.595833333333333
5097,5097,2015-12-16,0.0333333333333333,952.5041666666666,952.8541666666666,952.3,-3170.758333333333,25.95833333333333,19.241666666666667,26.729166666666668,25.15833333333333,20.066666666666663,18.516666666666666,73.58333333333333,64.625,68.75,115.83333333333331,4.8875,1.945833333333333
5098,5098,2015-12-17,0.0,950.925,951.2583333333332,950.6458333333334,-2957.491666666667,27.541666666666668,19.60833333333333,28.129166666666663,26.879166666666663,20.20833333333333,19.03333333333333,67.79166666666667,61.25,64.29166666666667,53.333333333333336,6.166666666666667,2.891666666666667
5099,5099,2015-12-18,0.4583333333333333,950.7666666666668,951.1,950.3958333333334,-3199.6666666666665,26.991666666666664,18.3375,28.15833333333333,25.854166666666668,19.1625,17.591666666666665,64.29166666666667,56.125,60.29166666666666,61.79166666666666,8.266666666666667,3.5416666666666665
5100,5100,2015-12-19,0.0,952.2875,952.5958333333332,951.7875,-3983.5166666666655,25.71666666666667,19.704166666666666,26.42083333333333,25.09583333333333,20.179166666666667,19.23333333333333,73.25,66.33333333333333,69.91666666666667,72.95833333333333,6.183333333333334,2.65
5101,5101,2015-12-20,0.2333333333333333,953.7208333333332,954.0291666666668,953.4416666666666,-2326.4375,24.066666666666663,20.525,24.42083333333333,23.65833333333333,20.979166666666668,20.116666666666667,83.45833333333333,79.0,81.29166666666667,142.375,6.270833333333333,2.625
5102,5102,2015-12-21,0.1,951.9666666666668,952.3291666666668,951.6791666666668,-3347.0291666666667,25.60833333333333,20.454166666666666,26.304166666666664,24.9375,21.1875,19.854166666666668,78.66666666666667,70.95833333333333,75.25,73.20833333333333,4.4125000000000005,1.9791666666666667
5103,5103,2015-12-22,0.0333333333333333,950.6791666666668,950.975,950.4416666666666,-3043.491666666667,26.45,21.054166666666667,27.104166666666668,25.5875,21.641666666666666,20.42083333333333,78.0,70.41666666666667,74.04166666666667,51.66666666666666,5.020833333333333,2.404166666666667
5104,5104,2015-12-23,0.0,950.7375,950.9708333333332,950.4625,-2970.2875,27.775,20.304166666666667,28.27916666666667,27.204166666666666,20.829166666666666,19.866666666666667,67.91666666666667,62.833333333333336,65.20833333333333,19.125,7.295833333333333,3.3375
5105,5105,2015-12-24,1.1833333333333331,952.3125,952.5833333333334,951.8708333333334,-3606.754166666667,27.204166666666666,20.6625,28.1125,26.491666666666664,21.175,20.09583333333333,71.75,64.875,68.66666666666667,70.375,6.633333333333333,3.0125
5106,5106,2015-12-25,0.2749999999999999,953.4958333333334,953.8291666666668,953.1833333333334,-3687.258333333333,24.96666666666667,21.0625,25.6125,24.3875,21.7125,20.579166666666666,83.625,77.29166666666667,80.41666666666667,136.0,5.116666666666666,2.2041666666666666
5107,5107,2015-12-26,0.0083333333333333,952.7333333333332,953.1125,952.4916666666668,-3141.433333333333,25.4125,19.5625,25.83333333333333,24.8375,20.27083333333333,18.9625,77.04166666666667,71.0,73.33333333333333,249.08333333333331,4.4,1.4583333333333333
